Column,Width,Format
BID,50,BIDASK
ASK,50,BIDASK
COUPON,50,RIGHT
MATURITY,75,RIGHT
YIELD,75,CENTRE
SIZE,75,RIGHT
Z-SPREAD,75,CENTRE
S / M / F,100,CENTRE
BENCHMARK,100,CENTRE
POSITION,100,RIGHT
DP(1D/1W/1M),100,CENTRE
DY(1D/1W/1M,100,CENTRE
ACCRUED,75,RIGHT
D2CPN,50,RIGHT
DZ(1D/1W/1M),100,CENTRE
RSI14,50,RIGHT
ISIN,100,DEFAULT
BOND,75,DEFAULT
IBP,50,BIDASKINPUT
IAP,50,BIDASKINPUT
IBS,50,BIDASKSIZEINPUT
IAS,50,BIDASKSIZEINPUT
CHECK,50,CENTRE
BID_S,50,BIDASKSIZEINPUT
ASK_S,50,BIDASKSIZEINPUT
BGN_M,50,RIGHT
AXE_SIZE,75,BIDASKSIZEINPUT
AXE_TYPE,75,CENTREINPUT
